step,time,loss,acc
5900,2021-04-25T14:48:56.459226,2.126566e-01,9.140625e-01
5950,2021-04-25T14:49:05.145963,2.441551e-01,8.906250e-01
6000,2021-04-25T14:49:13.686009,2.821795e-01,8.593750e-01
6050,2021-04-25T14:49:22.707327,3.159939e-01,8.828125e-01
6100,2021-04-25T14:49:31.064249,1.669803e-01,9.062500e-01
6150,2021-04-25T14:49:39.332143,3.096207e-01,8.437500e-01
6200,2021-04-25T14:49:47.594054,2.388635e-01,9.140625e-01
6250,2021-04-25T14:49:55.843000,2.515929e-01,9.062500e-01
6300,2021-04-25T14:50:04.186100,2.825174e-01,8.593750e-01
6350,2021-04-25T14:50:12.490896,2.792619e-01,8.750000e-01
6400,2021-04-25T14:50:20.822621,2.747257e-01,8.593750e-01
6450,2021-04-25T14:50:29.153347,1.943217e-01,9.296875e-01
6500,2021-04-25T14:50:37.457147,3.053729e-01,8.515625e-01
6550,2021-04-25T14:50:46.305450,1.975621e-01,8.984375e-01
6600,2021-04-25T14:50:54.791761,2.362225e-01,8.828125e-01
6650,2021-04-25T14:51:03.093565,2.335366e-01,8.750000e-01
6700,2021-04-25T14:51:11.476619,2.126307e-01,9.218750e-01
6750,2021-04-25T14:51:19.962225,2.738359e-01,8.984375e-01
6800,2021-04-25T14:51:28.655981,2.058780e-01,9.218750e-01
6850,2021-04-25T14:51:36.974740,1.998916e-01,9.062500e-01
6900,2021-04-25T14:51:45.306465,2.706422e-01,8.828125e-01
6950,2021-04-25T14:51:53.659132,2.529240e-01,8.984375e-01
7000,2021-04-25T14:52:02.048702,2.282896e-01,9.296875e-01
7050,2021-04-25T14:52:11.049637,3.303999e-01,8.671875e-01
7100,2021-04-25T14:52:19.444193,3.838131e-01,8.437500e-01
7150,2021-04-25T14:52:27.834760,2.831420e-01,8.671875e-01
7200,2021-04-25T14:52:36.267179,2.881167e-01,8.906250e-01
7250,2021-04-25T14:52:44.581157,1.715993e-01,9.218750e-01
7300,2021-04-25T14:52:52.848054,2.096974e-01,9.062500e-01
7350,2021-04-25T14:53:01.191746,1.892256e-01,9.218750e-01
7400,2021-04-25T14:53:09.544415,2.519199e-01,8.984375e-01
7450,2021-04-25T14:53:18.034715,2.757890e-01,8.671875e-01
7500,2021-04-25T14:53:26.392370,2.451144e-01,8.984375e-01
7550,2021-04-25T14:53:35.556868,2.428602e-01,8.906250e-01
7600,2021-04-25T14:53:44.206598,2.391761e-01,9.062500e-01
7650,2021-04-25T14:53:52.588187,3.459646e-01,8.671875e-01
7700,2021-04-25T14:54:01.025741,1.797458e-01,9.218750e-01
7750,2021-04-25T14:54:09.513048,2.291654e-01,9.062500e-01
7800,2021-04-25T14:54:17.924562,2.168826e-01,8.984375e-01
7850,2021-04-25T14:54:26.168520,2.333555e-01,9.062500e-01
7900,2021-04-25T14:54:34.565784,1.463678e-01,9.531250e-01
7950,2021-04-25T14:54:42.754890,2.600100e-01,8.750000e-01
8000,2021-04-25T14:54:50.913078,2.433338e-01,8.984375e-01
8050,2021-04-25T14:54:59.466937,2.247566e-01,9.062500e-01
8100,2021-04-25T14:55:07.607173,2.177465e-01,9.062500e-01
8150,2021-04-25T14:55:15.736439,2.468175e-01,8.828125e-01
8200,2021-04-25T14:55:23.888643,2.132890e-01,9.375000e-01
8250,2021-04-25T14:55:32.124623,2.810493e-01,8.750000e-01
8300,2021-04-25T14:55:40.480283,2.707357e-01,8.828125e-01
8350,2021-04-25T14:55:48.836941,2.599375e-01,9.218750e-01
8400,2021-04-25T14:55:57.222521,2.202633e-01,9.296875e-01
8450,2021-04-25T14:56:05.538288,2.272660e-01,9.140625e-01
8500,2021-04-25T14:56:13.859041,1.751952e-01,9.296875e-01
8550,2021-04-25T14:56:22.610404,2.309314e-01,9.062500e-01
8600,2021-04-25T14:56:30.942129,2.035143e-01,9.296875e-01
8650,2021-04-25T14:56:39.273852,2.191196e-01,9.296875e-01
8700,2021-04-25T14:56:47.599593,2.431657e-01,8.750000e-01
8750,2021-04-25T14:56:55.907381,1.773766e-01,9.375000e-01
8800,2021-04-25T14:57:04.235116,2.808404e-01,8.828125e-01
8850,2021-04-25T14:57:12.569832,2.771252e-01,8.750000e-01
8900,2021-04-25T14:57:20.869641,2.777286e-01,8.828125e-01
8950,2021-04-25T14:57:29.196379,2.762066e-01,8.906250e-01
9000,2021-04-25T14:57:37.509154,2.999110e-01,8.515625e-01
9050,2021-04-25T14:57:46.251779,2.693907e-01,8.671875e-01
9100,2021-04-25T14:57:54.599461,2.205436e-01,8.984375e-01
9150,2021-04-25T14:58:02.892289,2.520699e-01,8.906250e-01
9200,2021-04-25T14:58:11.207058,3.418311e-01,8.828125e-01
9250,2021-04-25T14:58:19.492906,3.153919e-01,8.593750e-01
9300,2021-04-25T14:58:27.845574,2.638790e-01,8.671875e-01
9350,2021-04-25T14:58:36.188268,1.959652e-01,8.984375e-01
9400,2021-04-25T14:58:44.502041,2.352739e-01,9.296875e-01
9450,2021-04-25T14:58:52.730124,2.053629e-01,9.218750e-01
9500,2021-04-25T14:59:00.894296,2.290524e-01,8.906250e-01
9550,2021-04-25T14:59:09.468373,2.366861e-01,8.750000e-01
9600,2021-04-25T14:59:17.601627,2.053000e-01,9.140625e-01
9650,2021-04-25T14:59:25.728902,2.945759e-01,8.906250e-01
9700,2021-04-25T14:59:33.870135,2.140730e-01,8.906250e-01
9750,2021-04-25T14:59:41.980452,2.272122e-01,9.140625e-01
9800,2021-04-25T14:59:50.110714,2.599966e-01,8.906250e-01
9850,2021-04-25T14:59:58.237985,2.948909e-01,8.828125e-01
9900,2021-04-25T15:00:06.359271,1.711644e-01,9.218750e-01
9950,2021-04-25T15:00:14.462606,2.176888e-01,9.218750e-01
10000,2021-04-25T15:00:22.577909,2.450757e-01,8.984375e-01
10050,2021-04-25T15:00:31.132226,2.536585e-01,8.984375e-01
10100,2021-04-25T15:00:39.252515,2.854902e-01,8.671875e-01
10150,2021-04-25T15:00:47.377792,3.635315e-01,8.203125e-01
10200,2021-04-25T15:00:55.480129,2.806944e-01,8.984375e-01
10250,2021-04-25T15:01:03.700152,2.465213e-01,9.062500e-01
10300,2021-04-25T15:01:11.835401,2.408585e-01,8.906250e-01
10350,2021-04-25T15:01:19.976635,2.431604e-01,8.984375e-01
10400,2021-04-25T15:01:28.128839,2.256269e-01,9.218750e-01
10450,2021-04-25T15:01:36.270072,2.153375e-01,9.062500e-01
10500,2021-04-25T15:01:44.434244,1.525865e-01,9.375000e-01
10550,2021-04-25T15:01:53.119807,1.702847e-01,9.218750e-01
10600,2021-04-25T15:02:01.244086,2.287161e-01,8.984375e-01
10650,2021-04-25T15:02:09.410253,1.813849e-01,9.296875e-01
10700,2021-04-25T15:02:17.569439,2.389516e-01,8.984375e-01
10750,2021-04-25T15:02:25.712667,3.050908e-01,9.062500e-01
10800,2021-04-25T15:02:33.844925,2.386187e-01,8.906250e-01
10850,2021-04-25T15:02:42.008103,2.628151e-01,8.828125e-01
10900,2021-04-25T15:02:50.155320,2.565354e-01,8.984375e-01
10950,2021-04-25T15:02:58.266634,2.595923e-01,8.828125e-01
11000,2021-04-25T15:03:06.424822,2.610842e-01,8.906250e-01
11050,2021-04-25T15:03:15.132679,2.386655e-01,8.906250e-01
11100,2021-04-25T15:03:23.257955,2.384698e-01,9.062500e-01
11150,2021-04-25T15:03:31.410159,2.583692e-01,8.984375e-01
11200,2021-04-25T15:03:39.556153,2.448642e-01,8.671875e-01
11250,2021-04-25T15:03:47.684424,1.908234e-01,9.218750e-01
11300,2021-04-25T15:03:55.812692,1.991685e-01,9.140625e-01
11350,2021-04-25T15:04:03.984843,2.595489e-01,8.984375e-01
11400,2021-04-25T15:04:12.130066,1.875776e-01,9.218750e-01
11450,2021-04-25T15:04:20.274291,1.800480e-01,9.218750e-01
11500,2021-04-25T15:04:28.412533,1.863891e-01,9.375000e-01
11550,2021-04-25T15:04:37.116420,3.374594e-01,8.593750e-01
11600,2021-04-25T15:04:45.221591,2.577727e-01,8.906250e-01
11650,2021-04-25T15:04:53.342878,3.147176e-01,8.281250e-01
11700,2021-04-25T15:05:01.469151,2.321326e-01,8.906250e-01
11750,2021-04-25T15:05:09.586449,1.701789e-01,9.531250e-01
11800,2021-04-25T15:05:17.809385,3.101430e-01,8.750000e-01
11850,2021-04-25T15:05:26.065311,2.821853e-01,8.750000e-01
11900,2021-04-25T15:05:34.230481,2.112323e-01,8.906250e-01
11950,2021-04-25T15:05:42.350770,1.376520e-01,9.453125e-01
12000,2021-04-25T15:05:50.450115,2.256023e-01,8.828125e-01
12050,2021-04-25T15:05:59.042144,1.956757e-01,9.062500e-01
12100,2021-04-25T15:06:07.188364,2.198631e-01,8.984375e-01
12150,2021-04-25T15:06:15.323613,1.893479e-01,9.218750e-01
12200,2021-04-25T15:06:23.497759,2.192225e-01,8.906250e-01
12250,2021-04-25T15:06:31.701875,1.548348e-01,9.531250e-01
12300,2021-04-25T15:06:39.985562,2.062907e-01,9.296875e-01
12350,2021-04-25T15:06:48.310907,2.144566e-01,9.218750e-01
12400,2021-04-25T15:06:56.746354,2.598113e-01,8.906250e-01
12450,2021-04-25T15:07:05.162672,1.832991e-01,9.453125e-01
12500,2021-04-25T15:07:13.542272,2.597275e-01,8.906250e-01
12550,2021-04-25T15:07:22.135467,2.680169e-01,9.218750e-01
12600,2021-04-25T15:07:30.268722,2.606772e-01,8.906250e-01
12650,2021-04-25T15:07:38.386019,2.281184e-01,8.984375e-01
12700,2021-04-25T15:07:46.522266,2.414697e-01,8.828125e-01
12750,2021-04-25T15:07:54.685441,2.047012e-01,9.062500e-01
12800,2021-04-25T15:08:02.826855,2.553764e-01,8.828125e-01
12850,2021-04-25T15:08:10.990033,2.240528e-01,9.375000e-01
12900,2021-04-25T15:08:19.148221,2.740387e-01,8.828125e-01
12950,2021-04-25T15:08:27.300425,3.276343e-01,8.359375e-01
13000,2021-04-25T15:08:35.471579,1.923597e-01,9.140625e-01
13050,2021-04-25T15:08:44.164719,3.172952e-01,8.828125e-01
13100,2021-04-25T15:08:52.284011,1.875460e-01,9.375000e-01
13150,2021-04-25T15:09:00.389340,2.331584e-01,9.140625e-01
13200,2021-04-25T15:09:08.554510,2.046506e-01,9.062500e-01
13250,2021-04-25T15:09:16.697738,2.638597e-01,8.750000e-01
13300,2021-04-25T15:09:24.827003,2.129855e-01,9.140625e-01
13350,2021-04-25T15:09:32.979207,2.117591e-01,8.984375e-01
13400,2021-04-25T15:09:41.142382,2.501154e-01,8.828125e-01
13450,2021-04-25T15:09:49.284613,2.497565e-01,8.750000e-01
13500,2021-04-25T15:09:57.428839,2.622691e-01,9.062500e-01
13550,2021-04-25T15:10:05.989477,2.349341e-01,8.828125e-01
13600,2021-04-25T15:10:14.389020,1.953861e-01,9.453125e-01
13650,2021-04-25T15:10:22.532248,2.571378e-01,8.906250e-01
13700,2021-04-25T15:10:30.648548,2.053733e-01,9.140625e-01
13750,2021-04-25T15:10:38.782800,2.113288e-01,8.984375e-01
13800,2021-04-25T15:10:46.892119,2.497056e-01,9.062500e-01
13850,2021-04-25T15:10:54.992461,2.450406e-01,8.906250e-01
13900,2021-04-25T15:11:03.099786,2.312289e-01,9.062500e-01
13950,2021-04-25T15:11:11.194145,1.994210e-01,9.218750e-01
14000,2021-04-25T15:11:19.293490,2.056250e-01,9.296875e-01
